Iteration,PR,OS,DurationSec
1,2014,ubuntu,272
1,2018,ubuntu,290
1,2014,macos,285
1,2018,macos,285
1,2014,windows,429
1,2018,windows,464
2,2014,ubuntu,0
2,2018,ubuntu,277
2,2014,macos,283
2,2018,macos,249
2,2014,windows,460
2,2018,windows,452
3,2014,ubuntu,284
3,2018,ubuntu,295
3,2014,macos,360
3,2018,macos,216
3,2014,windows,430
3,2018,windows,411
4,2014,ubuntu,264
4,2018,ubuntu,277
4,2014,macos,225
4,2018,macos,200
4,2014,windows,406
4,2018,windows,435
5,2014,ubuntu,292
5,2018,ubuntu,277
5,2014,macos,196
5,2018,macos,220
5,2014,windows,393
5,2018,windows,474
6,2014,ubuntu,277
6,2018,ubuntu,286
6,2014,macos,188
6,2018,macos,310
6,2014,windows,448
6,2018,windows,413
7,2014,ubuntu,298
7,2018,ubuntu,298
7,2014,macos,238
7,2018,macos,342
7,2014,windows,390
7,2018,windows,435
8,2014,ubuntu,283
8,2018,ubuntu,285
8,2014,macos,192
8,2018,macos,218
8,2014,windows,0
8,2018,windows,427
9,2014,ubuntu,276
9,2018,ubuntu,303
9,2014,macos,334
9,2018,macos,295
9,2014,windows,309
9,2018,windows,335
10,2014,ubuntu,274
10,2018,ubuntu,281
10,2014,macos,181
10,2018,macos,203
10,2014,windows,431
10,2018,windows,441
